,State,Value,Policy,x,y
114,"(5, 9)",542.3212549941932,0,5,9
115,"(5, 10)",548.897475541724,0,5,10
116,"(5, 11)",555.1452924108663,0,5,11
117,"(5, 12)",561.0849152066528,0,5,12
118,"(5, 13)",566.7348652960854,0,5,13
119,"(5, 14)",572.1112552661717,0,5,14
120,"(5, 15)",577.2262500101639,0,5,15
121,"(5, 16)",582.084748911348,0,5,16
122,"(5, 17)",586.6776334524908,0,5,17
123,"(5, 18)",590.97066878623,0,5,18
124,"(5, 19)",594.8925165609198,0,5,19
125,"(5, 20)",598.334155653835,0,5,20
126,"(6, 0)",473.48752357313015,2,6,0
127,"(6, 1)",483.0601032344923,2,6,1
128,"(6, 2)",492.45073834515176,1,6,2
129,"(6, 3)",501.5763020830715,1,6,3
130,"(6, 4)",510.3634439429092,0,6,4
131,"(6, 5)",518.9140004808015,0,6,5
132,"(6, 6)",526.965735312474,0,6,6
133,"(6, 7)",534.5629789174565,0,6,7
134,"(6, 8)",541.752201319369,0,6,8
135,"(6, 9)",548.5692946295118,0,6,9
136,"(6, 10)",555.0403622046246,0,6,10
137,"(6, 11)",561.1862741192253,0,6,11
138,"(6, 12)",567.0257199873665,0,6,12
139,"(6, 13)",572.5759795320386,0,6,13
140,"(6, 14)",577.8522630493853,0,6,14
141,"(6, 15)",582.866023253622,0,6,15
142,"(6, 16)",587.621546221272,0,6,16
143,"(6, 17)",592.1093713172999,0,6,17
144,"(6, 18)",596.2957409511387,0,6,18
145,"(6, 19)",600.111469081078,0,6,19
146,"(6, 20)",603.452004261974,0,6,20
147,"(7, 0)",481.0601032344924,3,7,0
148,"(7, 1)",490.4507383451516,2,7,1
149,"(7, 2)",499.57630208307154,2,7,2
150,"(7, 3)",508.36344394290927,1,7,3
151,"(7, 4)",516.9140004808014,1,7,4
152,"(7, 5)",525.1602779228367,0,7,5
153,"(7, 6)",533.0793247216051,0,7,6
154,"(7, 7)",540.5360581865102,0,7,7
155,"(7, 8)",547.5865487168351,0,7,8
156,"(7, 9)",554.2714535821393,0,7,9
157,"(7, 10)",560.6178215574108,0,7,10
158,"(7, 11)",566.6454757902069,0,7,11
159,"(7, 12)",572.371501741881,0,7,12
160,"(7, 13)",577.8117237193944,0,7,13
161,"(7, 14)",582.9802011353144,0,7,14
162,"(7, 15)",587.8874628198046,0,7,15
163,"(7, 16)",592.5370582899486,0,7,16
164,"(7, 17)",596.9191478584522,0,7,17
165,"(7, 18)",601.0004150925337,0,7,18
166,"(7, 19)",604.7136275777667,0,7,19
167,"(7, 20)",607.9581764096815,0,7,20
168,"(8, 0)",488.45073834515176,3,8,0
169,"(8, 1)",497.5763020830717,3,8,1
170,"(8, 2)",506.3634439429089,2,8,2
171,"(8, 3)",514.9140004808014,2,8,3
172,"(8, 4)",523.1602779228368,1,8,4
173,"(8, 5)",531.079324721605,1,8,5
174,"(8, 6)",538.8173738763901,0,8,6
175,"(8, 7)",546.1135549687981,0,8,7
176,"(8, 8)",553.0052056167852,0,8,8
177,"(8, 9)",559.5390633537671,0,8,9
178,"(8, 10)",565.7439241821712,0,8,10
179,"(8, 11)",571.6389281936619,0,8,11
180,"(8, 12)",577.2396404580245,0,8,12
181,"(8, 13)",582.5603750341863,0,8,13
182,"(8, 14)",587.6139458443608,0,8,14
183,"(8, 15)",592.4098908916492,0,8,15
184,"(8, 16)",596.951019104076,0,8,16
185,"(8, 17)",601.2271564745795,0,8,17
186,"(8, 18)",605.2054386402378,0,8,18
187,"(8, 19)",608.820406926013,0,8,19
188,"(8, 20)",611.9748515477221,0,8,20
189,"(9, 0)",495.57630208307194,4,9,0
190,"(9, 1)",504.36344394290927,3,9,1
191,"(9, 2)",512.9140004808016,3,9,2
192,"(9, 3)",521.1602779228367,2,9,3
193,"(9, 4)",529.0793247216047,2,9,4
194,"(9, 5)",536.8173738763902,1,9,5
195,"(9, 6)",544.2426682239856,0,9,6
196,"(9, 7)",551.3646801712472,0,9,7
197,"(9, 8)",558.0830272079596,0,9,8
198,"(9, 9)",564.4515194235041,0,9,9
199,"(9, 10)",570.5014676230364,0,9,10
200,"(9, 11)",576.2518068397997,0,9,11
201,"(9, 12)",581.7168203411238,0,9,12
202,"(9, 13)",586.909406609979,0,9,13
203,"(9, 14)",591.8411720348429,0,9,14
204,"(9, 15)",596.5207046704818,0,9,15
205,"(9, 16)",600.9501426342692,0,9,16
206,"(9, 17)",605.1190637415242,0,9,17
207,"(9, 18)",608.9950979872303,0,9,18
208,"(9, 19)",612.5144412719833,0,9,19
209,"(9, 20)",615.58286490981,0,9,20
210,"(10, 0)",502.36344394290904,4,10,0
211,"(10, 1)",510.91400048080163,4,10,1
212,"(10, 2)",519.1602779228366,3,10,2
213,"(10, 3)",527.079324721605,3,10,3
214,"(10, 4)",534.8173738763902,2,10,4
215,"(10, 5)",542.242668223986,1,10,5
216,"(10, 6)",549.3933776324222,0,10,6
217,"(10, 7)",556.3335972581269,0,10,7
218,"(10, 8)",562.8696606137474,0,10,8
219,"(10, 9)",569.063074729705,0,10,9
220,"(10, 10)",574.9483239852468,0,10,10
221,"(10, 11)",580.5446692952038,0,10,11
222,"(10, 12)",585.8654646917274,0,10,12
223,"(10, 13)",590.9224044678107,0,10,13
224,"(10, 14)",595.7260224225374,0,10,14
225,"(10, 15)",600.2840664619853,0,10,15
226,"(10, 16)",604.5981118015973,0,10,16
227,"(10, 17)",608.6575883872629,0,10,17
228,"(10, 18)",612.430676025358,0,10,18
229,"(10, 19)",615.8551603294246,0,10,19
230,"(10, 20)",618.8395179009356,0,10,20
231,"(11, 0)",508.9140004808015,5,11,0
232,"(11, 1)",517.1602779228366,4,11,1
233,"(11, 2)",525.0793247216051,4,11,2
234,"(11, 3)",532.8173738763901,3,11,3
235,"(11, 4)",540.2426682239859,2,11,4
236,"(11, 5)",547.393377632422,1,11,5
237,"(11, 6)",554.333597258127,1,11,6
238,"(11, 7)",561.0480719443659,0,11,7
239,"(11, 8)",567.397327293645,0,11,8
240,"(11, 9)",573.4098712451087,0,11,9
241,"(11, 10)",579.1238854250765,0,11,10
242,"(11, 11)",584.559486178599,0,11,11
243,"(11, 12)",589.7295117822601,0,11,12
244,"(11, 13)",594.6447349372143,0,11,13
245,"(11, 14)",599.3148091345772,0,11,14
246,"(11, 15)",603.7467879953566,0,11,15
247,"(11, 16)",607.9418069387476,0,11,16
248,"(11, 17)",611.8892492039818,0,11,17
249,"(11, 18)",615.5579025585157,0,11,18
250,"(11, 19)",618.8871130732904,0,11,19
251,"(11, 20)",621.7878936095096,0,11,20
252,"(12, 0)",515.1602779228366,5,12,0
253,"(12, 1)",523.0793247216052,5,12,1
254,"(12, 2)",530.81737387639,4,12,2
255,"(12, 3)",538.2426682239857,3,12,3
256,"(12, 4)",545.3933776324219,2,12,4
257,"(12, 5)",552.3335972581268,2,12,5
258,"(12, 6)",559.0480719443657,1,12,6
259,"(12, 7)",565.5253067816756,0,12,7
260,"(12, 8)",571.6862682222801,0,12,8
261,"(12, 9)",577.5149552840198,0,12,9
262,"(12, 10)",583.0536596380223,0,12,10
263,"(12, 11)",588.3238559176356,0,12,11
264,"(12, 12)",593.3382987881786,0,12,12
265,"(12, 13)",598.1071500805286,0,12,13
266,"(12, 14)",602.6393944390638,0,12,14
267,"(12, 15)",606.9415433350886,0,12,15
268,"(12, 16)",611.0144115445939,0,12,16
269,"(12, 17)",614.8474277019766,0,12,17
270,"(12, 18)",618.4100405662188,0,12,18
271,"(12, 19)",621.6431440238204,0,12,19
272,"(12, 20)",624.4601802318494,0,12,20
273,"(13, 0)",521.0492916981116,5,13,0
274,"(13, 1)",528.8173738763903,5,13,1
275,"(13, 2)",536.2426682239854,4,13,2
276,"(13, 3)",543.3933776324222,3,13,3
277,"(13, 4)",550.3335972581268,3,13,4
278,"(13, 5)",557.0480719443653,2,13,5
279,"(13, 6)",563.5253067816756,1,13,6
280,"(13, 7)",569.7748852377078,0,13,7
281,"(13, 8)",575.7477610671384,0,13,8
282,"(13, 9)",581.3912637358238,0,13,9
283,"(13, 10)",586.7521461625008,0,13,10
284,"(13, 11)",591.8537225610526,0,13,11
285,"(13, 12)",596.7090970131268,0,13,12
286,"(13, 13)",601.3281320040453,0,13,13
287,"(13, 14)",605.7193446320543,0,13,14
288,"(13, 15)",609.888836935706,0,13,15
289,"(13, 16)",613.8371999236562,0,13,16
290,"(13, 17)",617.5539795930725,0,13,17
291,"(13, 18)",621.009324515406,0,13,18
292,"(13, 19)",624.1456622798032,0,13,19
293,"(13, 20)",626.8787796131659,0,13,20
294,"(14, 0)",526.6372967574047,5,14,0
295,"(14, 1)",534.2426682239858,5,14,1
296,"(14, 2)",541.393377632422,4,14,2
297,"(14, 3)",548.3335972581268,4,14,3
298,"(14, 4)",555.0480719443655,3,14,4
299,"(14, 5)",561.5253067816755,2,14,5
300,"(14, 6)",567.7748852377082,1,14,6
301,"(14, 7)",573.798955677338,0,14,7
302,"(14, 8)",579.5847548757698,0,14,8
303,"(14, 9)",585.0426144818248,0,14,9
304,"(14, 10)",590.2240766757783,0,14,10
305,"(14, 11)",595.1547701765622,0,14,11
306,"(14, 12)",599.8485824803191,0,14,12
307,"(14, 13)",604.3153794089943,0,14,13
308,"(14, 14)",608.5633867651599,0,14,14
309,"(14, 15)",612.5983953495232,0,14,15
310,"(14, 16)",616.420835557589,0,14,16
311,"(14, 17)",620.0204153726044,0,14,17
312,"(14, 18)",623.3680009730717,0,14,18
313,"(14, 19)",626.4075232009292,0,14,19
314,"(14, 20)",629.05701870932,0,14,20
315,"(15, 0)",531.9565901497367,5,15,0
316,"(15, 1)",539.3933776324222,5,15,1
317,"(15, 2)",546.3335972581268,5,15,2
318,"(15, 3)",553.0480719443653,4,15,3
319,"(15, 4)",559.5253067816755,3,15,4
320,"(15, 5)",565.7748852377083,2,15,5
321,"(15, 6)",571.7989556773375,1,15,6
322,"(15, 7)",577.5892795763568,0,15,7
323,"(15, 8)",583.1897005662242,0,15,8
324,"(15, 9)",588.4622758837879,0,15,9
325,"(15, 10)",593.4636388481099,0,15,10
326,"(15, 11)",598.2221922982883,0,15,11
327,"(15, 12)",602.753033142486,0,15,12
328,"(15, 13)",607.0663187814301,0,15,13
329,"(15, 14)",611.170133509373,0,15,14
330,"(15, 15)",615.0700230857913,0,15,15
331,"(15, 16)",618.766292225499,0,15,16
332,"(15, 17)",622.2488347692721,0,15,17
333,"(15, 18)",625.4892351479285,0,15,18
334,"(15, 19)",628.4328749515358,0,15,19
335,"(15, 20)",630.9999141172341,0,15,20
336,"(16, 0)",537.0258336519014,5,16,0
337,"(16, 1)",544.2925927466628,5,16,1
338,"(16, 2)",551.0480719443655,5,16,2
339,"(16, 3)",557.5253067816753,4,16,3
340,"(16, 4)",563.7748852377083,3,16,4
341,"(16, 5)",569.7989556773382,2,16,5
342,"(16, 6)",575.589279576357,1,16,6
343,"(16, 7)",581.1897005662242,1,16,7
344,"(16, 8)",586.539249589349,0,16,8
345,"(16, 9)",591.6287489441052,0,16,9
346,"(16, 10)",596.4513022191522,0,16,10
347,"(16, 11)",601.0384691024409,0,16,11
348,"(16, 12)",605.4069263752277,0,16,12
349,"(16, 13)",609.567374359392,0,16,13
350,"(16, 14)",613.5278817720041,0,16,14
351,"(16, 15)",617.2938027742534,0,16,15
352,"(16, 16)",620.865348600152,0,16,16
353,"(16, 17)",624.232626630213,0,16,17
354,"(16, 18)",627.3679422776715,0,16,18
355,"(16, 19)",630.218061760172,0,16,19
356,"(16, 20)",632.7051019745824,0,16,20
357,"(17, 0)",541.856340828559,5,17,0
358,"(17, 1)",548.9544510819672,5,17,1
359,"(17, 2)",555.5253067816755,5,17,2
360,"(17, 3)",561.7748852377084,4,17,3
361,"(17, 4)",567.7989556773377,3,17,4
362,"(17, 5)",573.5892795763571,2,17,5
363,"(17, 6)",579.1897005662247,2,17,6
364,"(17, 7)",584.5392495893493,1,17,7
365,"(17, 8)",589.6287489441052,1,17,8
366,"(17, 9)",594.500186883387,0,17,9
367,"(17, 10)",599.1493888518002,0,17,10
368,"(17, 11)",603.5700365376349,0,17,11
369,"(17, 12)",607.7806151573826,0,17,12
370,"(17, 13)",611.792535729803,0,17,13
371,"(17, 14)",615.6139477907302,0,17,14
372,"(17, 15)",619.250075626948,0,17,15
373,"(17, 16)",622.7010964200526,0,17,16
374,"(17, 17)",625.9573910009775,0,17,17
375,"(17, 18)",628.9920145270685,0,17,18
376,"(17, 19)",631.753055644337,0,17,19
377,"(17, 20)",634.1643904127296,0,17,20
378,"(18, 0)",546.4545939777463,5,18,0
379,"(18, 1)",553.38690251174,5,18,1
380,"(18, 2)",559.7748852377084,5,18,2
381,"(18, 3)",565.798955677338,4,18,3
382,"(18, 4)",571.5892795763574,3,18,4
383,"(18, 5)",577.1897005662244,3,18,5
384,"(18, 6)",582.5392495893493,2,18,6
385,"(18, 7)",587.6287489441055,2,18,7
386,"(18, 8)",592.5001868833868,1,18,8
387,"(18, 9)",597.1493888517998,1,18,9
388,"(18, 10)",601.570036537635,1,18,10
389,"(18, 11)",605.7806151573827,1,18,11
390,"(18, 12)",609.8305647750913,0,18,12
391,"(18, 13)",613.7041438367377,0,18,13
392,"(18, 14)",617.3959985395846,0,18,14
393,"(18, 15)",620.9112959713228,0,18,15
394,"(18, 16)",624.2502712739914,0,18,16
395,"(18, 17)",627.403672791754,0,18,17
396,"(18, 18)",630.345361491907,0,18,18
397,"(18, 19)",633.0246966206435,0,18,19
398,"(18, 20)",635.3670995095606,0,18,20
399,"(19, 0)",550.8214414875273,5,19,0
400,"(19, 1)",557.5913905586928,5,19,1
401,"(19, 2)",563.7989556773379,5,19,2
402,"(19, 3)",569.5892795763573,4,19,3
403,"(19, 4)",575.1897005662244,4,19,4
404,"(19, 5)",580.5392495893497,3,19,5
405,"(19, 6)",585.6287489441054,3,19,6
406,"(19, 7)",590.5001868833867,2,19,7
407,"(19, 8)",595.1493888517997,2,19,8
408,"(19, 9)",599.5700365376354,2,19,9
409,"(19, 10)",603.7806151573828,2,19,10
410,"(19, 11)",607.8305647750914,1,19,11
411,"(19, 12)",611.7041438367374,1,19,12
412,"(19, 13)",615.3959985395844,1,19,13
413,"(19, 14)",618.9112959713228,1,19,14
414,"(19, 15)",622.2502712739913,1,19,15
415,"(19, 16)",625.4905539967992,0,19,16
416,"(19, 17)",628.5540657472393,0,19,17
417,"(19, 18)",631.414838006691,0,19,18
418,"(19, 19)",634.0234340542951,0,19,19
419,"(19, 20)",636.3065962984411,0,19,20
420,"(20, 0)",554.9477060361421,5,20,0
421,"(20, 1)",561.559135423755,5,20,1
422,"(20, 2)",567.5892795763571,5,20,2
423,"(20, 3)",573.1897005662244,5,20,3
424,"(20, 4)",578.5392495893492,4,20,4
425,"(20, 5)",583.6287489441055,4,20,5
426,"(20, 6)",588.500186883387,3,20,6
427,"(20, 7)",593.1493888517997,3,20,7
428,"(20, 8)",597.5700365376348,3,20,8
429,"(20, 9)",601.7806151573827,3,20,9
430,"(20, 10)",605.8305647750913,2,20,10
431,"(20, 11)",609.7041438367378,2,20,11
432,"(20, 12)",613.3959985395843,2,20,12
433,"(20, 13)",616.9112959713228,2,20,13
434,"(20, 14)",620.2502712739915,2,20,14
435,"(20, 15)",623.490553996799,1,20,15
436,"(20, 16)",626.5540657472393,1,20,16
437,"(20, 17)",629.4148380066911,1,20,17
438,"(20, 18)",632.2013092443235,0,20,18
439,"(20, 19)",634.7534296207023,0,20,19
440,"(20, 20)",636.9896068043673,0,20,20
